category,city,urgency,desc_len,n_photos,budget_min,budget_max,artisan_rating,artisan_score,artisan_exp,distance_km,same_city,accepted_price
Nettoyage,Marrakech,normal,250,0,70,780,5.0,0.804,6,655.55,0,401
Déménagement,Oujda,normal,168,3,210,2860,4.0,0.859,19,452.77,0,1353
Électricité,Oujda,urgent,129,0,140,1820,3.6,0.8,7,659.99,0,875
Serrurerie,Fès,normal,294,3,70,910,4.8,0.861,22,169.37,0,369
Serrurerie,Casablanca,très urgent,211,5,70,910,4.0,0.678,17,242.54,0,993
Maçonnerie,Marrakech,urgent,42,2,280,4550,3.5,0.719,15,218.78,0,2793
Déménagement,Oujda,urgent,229,5,210,2860,4.9,0.928,21,349.12,0,1522
Déménagement,Meknès,normal,305,2,210,2860,4.0,0.859,19,109.1,0,575
Jardinage,Marrakech,urgent,315,4,105,1170,4.8,0.935,14,492.42,0,977
Jardinage,Casablanca,très urgent,221,0,105,1170,3.1,0.851,18,20.84,1,901
Jardinage,Agadir,urgent,319,0,105,1170,3.1,0.684,19,846.21,0,1004
Électricité,Oujda,urgent,250,2,140,1820,5.0,0.909,22,658.78,0,399
Climatisation,Tanger,urgent,251,0,350,4160,3.3,0.79,14,304.54,0,2222
Plomberie,Marrakech,urgent,329,5,105,1170,2.8,0.458,2,294.48,0,392
Nettoyage,Casablanca,très urgent,197,2,70,780,5.0,0.804,6,527.86,0,465
Serrurerie,Agadir,urgent,43,1,70,910,5.0,0.899,13,535.38,0,151
Informatique,Marrakech,normal,135,3,70,1170,4.2,0.737,10,508.21,0,618
Informatique,Rabat,très urgent,339,2,70,1170,4.6,0.853,23,177.07,0,585
Nettoyage,Tanger,très urgent,38,0,70,780,3.4,0.594,15,385.4,0,518
Peinture,Rabat,normal,73,5,140,2080,5.0,0.915,23,5.53,1,762
Climatisation,Tanger,normal,34,1,350,4160,3.2,0.558,1,492.25,0,659
Déménagement,Marrakech,normal,242,1,210,2860,3.4,0.626,1,221.31,0,1819
Déménagement,Tanger,normal,270,0,210,2860,4.7,0.973,21,212.88,0,1404
Déménagement,Fès,urgent,77,3,210,2860,4.1,0.828,17,167.61,0,2075
Jardinage,Fès,normal,273,3,105,1170,4.0,0.702,18,241.74,0,822
Climatisation,Agadir,urgent,296,4,350,4160,3.1,0.742,17,847.77,0,2353
Menuiserie,Casablanca,normal,35,4,210,2860,3.4,0.636,10,77.13,0,2080
Serrurerie,Oujda,normal,255,0,70,910,5.0,0.832,3,873.63,0,445
Peinture,Tanger,normal,79,5,140,2080,4.2,0.799,8,286.39,0,948
Carrelage,Agadir,très urgent,288,1,175,2600,4.2,0.891,23,688.82,0,1295
Plomberie,Marrakech,urgent,107,4,105,1170,3.8,0.79,9,207.58,0,739
Informatique,Fès,normal,346,1,70,1170,4.3,0.853,8,380.02,0,724
Maçonnerie,Agadir,normal,229,4,280,4550,4.1,0.71,8,475.89,0,957
Peinture,Casablanca,urgent,136,5,140,2080,4.0,0.778,23,214.39,0,537
Jardinage,Fès,très urgent,154,3,105,1170,3.9,0.736,8,245.71,0,628
Carrelage,Rabat,normal,235,0,175,2600,4.2,0.891,23,214.67,0,671
Nettoyage,Rabat,très urgent,215,1,70,780,4.6,0.835,6,459.05,0,586
Climatisation,Rabat,urgent,171,2,350,4160,3.8,0.634,16,120.82,0,1654
Électricité,Casablanca,normal,283,1,140,1820,4.5,0.913,17,530.36,0,1348
Électricité,Rabat,normal,339,3,140,1820,4.9,0.827,7,16.77,1,1143
Nettoyage,Casablanca,urgent,251,5,70,780,4.1,0.717,3,15.24,1,149
Carrelage,Rabat,normal,263,2,175,2600,4.9,0.805,16,459.84,0,759
Jardinage,Casablanca,urgent,112,1,105,1170,4.0,0.702,18,11.79,1,945
Carrelage,Fès,normal,345,4,175,2600,3.8,0.761,4,56.55,0,457
Jardinage,Tanger,normal,87,1,105,1170,4.9,0.806,15,296.28,0,723
Nettoyage,Fès,normal,76,5,70,780,4.5,0.873,14,375.11,0,174
Carrelage,Tanger,normal,180,4,175,2600,3.4,0.819,25,205.67,0,1156
Maçonnerie,Fès,normal,142,1,280,4550,4.0,0.816,17,168.86,0,995
Peinture,Marrakech,normal,254,3,140,2080,4.0,0.778,23,16.84,1,581
Déménagement,Meknès,très urgent,163,5,210,2860,4.5,0.71,19,208.98,0,1981
Plomberie,Tanger,normal,211,0,105,1170,4.9,0.76,3,295.84,0,895
Informatique,Oujda,normal,232,1,70,1170,4.1,0.699,15,289.24,0,790
Carrelage,Marrakech,très urgent,103,4,175,2600,4.4,0.948,23,279.09,0,2883
Informatique,Tanger,normal,62,4,70,1170,3.1,0.536,5,211.88,0,715
Serrurerie,Agadir,normal,146,2,70,910,5.0,0.832,3,7.35,1,562
Électricité,Agadir,très urgent,60,5,140,1820,3.6,0.8,7,213.44,0,335
Carrelage,Meknès,normal,221,0,175,2600,4.4,0.785,7,346.09,0,1270
Nettoyage,Marrakech,urgent,109,4,70,780,4.1,0.717,3,209.95,0,644
Jardinage,Casablanca,urgent,91,2,105,1170,4.8,0.852,20,519.23,0,371
Nettoyage,Fès,urgent,343,2,70,780,3.9,0.596,9,239.68,0,583
Climatisation,Rabat,normal,281,1,350,4160,4.0,0.628,6,275.69,0,2467
Informatique,Rabat,urgent,299,4,70,1170,4.4,0.731,4,10.09,1,900
Climatisation,Marrakech,urgent,179,5,350,4160,3.8,0.687,9,9.05,1,2633
Jardinage,Rabat,normal,284,2,105,1170,4.2,0.797,17,6.07,1,192
Plomberie,Agadir,normal,252,5,105,1170,3.8,0.79,9,9.67,1,847
Plomberie,Marrakech,urgent,193,0,105,1170,4.0,0.838,17,227.82,0,842
Plomberie,Casablanca,urgent,178,0,105,1170,4.6,0.699,12,4.17,1,1033
Carrelage,Meknès,normal,162,3,175,2600,3.8,0.761,4,17.66,1,669
Informatique,Agadir,urgent,223,2,70,1170,5.0,0.79,4,873.01,0,739
Climatisation,Meknès,normal,144,0,350,4160,3.6,0.761,3,58.74,0,2501
Menuiserie,Tanger,très urgent,233,2,210,2860,4.3,0.73,6,356.74,0,909
Électricité,Rabat,normal,64,1,140,1820,4.3,0.765,12,446.67,0,1105
Carrelage,Casablanca,normal,38,4,175,2600,4.9,0.805,16,545.84,0,328
Déménagement,Rabat,normal,322,5,210,2860,4.1,0.808,23,473.56,0,1220
Maçonnerie,Oujda,très urgent,262,3,280,4550,3.5,0.719,15,534.06,0,3570
Menuiserie,Agadir,très urgent,161,1,210,2860,4.8,0.768,15,594.3,0,1054
Jardinage,Meknès,normal,235,1,105,1170,4.0,0.571,1,339.65,0,565
Nettoyage,Marrakech,normal,346,2,70,780,4.1,0.763,25,9.16,1,429
Maçonnerie,Meknès,urgent,183,4,280,4550,4.1,0.71,8,114.36,0,2759
Plomberie,Casablanca,très urgent,212,1,105,1170,3.8,0.862,13,205.4,0,975
Électricité,Meknès,normal,173,5,140,1820,4.3,0.765,12,341.32,0,1111
Plomberie,Fès,normal,40,4,105,1170,4.0,0.838,17,246.94,0,735
Jardinage,Casablanca,normal,203,0,105,1170,4.8,0.935,14,266.43,0,789
Déménagement,Oujda,normal,116,2,210,2860,3.5,0.542,7,462.42,0,1365
Jardinage,Tanger,normal,186,2,105,1170,4.3,0.722,8,227.33,0,429
Climatisation,Oujda,normal,349,0,350,4160,3.8,0.828,21,368.87,0,1317
Serrurerie,Meknès,urgent,201,2,70,910,5.0,0.832,3,543.81,0,260
Électricité,Casablanca,normal,68,1,140,1820,4.1,0.755,2,16.05,1,378
Plomberie,Casablanca,très urgent,66,1,105,1170,4.3,0.709,16,219.09,0,448
Maçonnerie,Agadir,très urgent,93,5,280,4550,4.1,0.71,8,478.55,0,2485
Serrurerie,Agadir,normal,248,2,70,910,4.8,0.925,13,10.36,1,107
Climatisation,Agadir,normal,282,2,350,4160,3.9,0.781,18,586.96,0,2261
Climatisation,Oujda,normal,331,2,350,4160,3.8,0.687,9,657.96,0,2831
Informatique,Tanger,normal,285,2,70,1170,4.5,0.57,1,691.94,0,294
Déménagement,Fès,normal,266,2,210,2860,3.6,0.694,11,573.17,0,2141
Jardinage,Fès,normal,42,1,105,1170,4.8,0.935,14,206.13,0,559
Informatique,Oujda,normal,60,2,70,1170,4.1,0.699,15,292.79,0,588
Déménagement,Marrakech,urgent,157,3,210,2860,4.4,0.919,21,6.03,1,766
Menuiserie,Tanger,urgent,166,0,210,2860,4.5,0.719,7,207.62,0,1865
Plomberie,Oujda,normal,347,3,105,1170,4.9,0.988,23,347.68,0,471
Plomberie,Meknès,très urgent,105,3,105,1170,4.2,0.738,22,17.92,1,875
Carrelage,Oujda,urgent,311,0,175,2600,3.4,0.836,23,656.49,0,1041
Électricité,Meknès,normal,61,4,140,1820,4.3,0.765,12,349.07,0,1322
Plomberie,Marrakech,urgent,108,1,105,1170,4.9,0.81,4,354.49,0,873
Déménagement,Oujda,normal,218,4,210,2860,4.5,0.822,3,10.17,1,611
Électricité,Marrakech,urgent,139,4,140,1820,4.4,0.892,25,498.08,0,1576
Carrelage,Oujda,normal,281,3,175,2600,3.4,0.819,25,288.58,0,409
Plomberie,Rabat,très urgent,134,0,105,1170,4.5,0.817,10,472.62,0,261
Informatique,Fès,normal,49,3,70,1170,4.2,0.737,10,210.68,0,113
Plomberie,Rabat,urgent,275,1,105,1170,4.9,0.76,3,97.72,0,1079
Maçonnerie,Oujda,normal,318,3,280,4550,3.6,0.703,2,366.02,0,3330
Menuiserie,Tanger,normal,235,2,210,2860,4.5,0.719,7,223.2,0,1967
Jardinage,Meknès,urgent,100,2,105,1170,3.9,0.786,20,109.23,0,958
Climatisation,Fès,très urgent,350,1,350,4160,3.4,0.706,7,286.82,0,2081
