client_id,artisan_id,category,subscription,type,value,date
333,268,Carrelage,free,accept_offer,1.0,2025-08-24
145,109,Climatisation,elite,accept_offer,1.0,2026-05-26
58,276,Menuiserie,elite,reject_offer,-0.3,2026-03-27
71,148,Informatique,elite,accept_offer,1.0,2025-11-01
258,34,Nettoyage,elite,message_sent,0.6,2025-06-10
155,55,Nettoyage,free,ignore,0.0,2026-04-08
39,8,Jardinage,elite,accept_offer,1.0,2025-09-30
24,76,Plomberie,free,view_profile,0.2,2025-07-11
194,244,Informatique,free,accept_offer,1.0,2026-06-05
282,199,Maçonnerie,elite,reject_offer,-0.3,2025-12-28
366,126,Menuiserie,premium,message_sent,0.6,2026-04-15
169,120,Climatisation,elite,accept_offer,1.0,2025-07-21
48,2,Carrelage,free,accept_offer,1.0,2025-08-04
390,142,Déménagement,premium,ignore,0.0,2026-01-06
133,80,Jardinage,premium,accept_offer,1.0,2026-03-31
218,63,Plomberie,free,accept_offer,1.0,2025-10-09
283,173,Menuiserie,elite,accept_offer,1.0,2025-07-31
71,280,Informatique,basic,ignore,0.0,2026-01-20
253,169,Peinture,free,reject_offer,-0.3,2025-08-12
120,191,Informatique,premium,accept_offer,1.0,2026-02-14
260,51,Menuiserie,elite,accept_offer,1.0,2025-10-15
80,193,Serrurerie,basic,ignore,0.0,2026-04-28
24,237,Carrelage,elite,view_profile,0.2,2025-12-18
10,79,Déménagement,free,message_sent,0.6,2025-11-01
223,190,Déménagement,free,ignore,0.0,2026-01-07
396,237,Carrelage,elite,accept_offer,1.0,2025-06-23
184,34,Nettoyage,elite,accept_offer,1.0,2025-06-18
236,105,Déménagement,premium,view_profile,0.2,2026-02-16
238,63,Plomberie,free,accept_offer,1.0,2025-10-17
387,247,Carrelage,free,reject_offer,-0.3,2026-04-29
386,118,Informatique,basic,accept_offer,1.0,2025-07-06
111,51,Menuiserie,elite,accept_offer,1.0,2025-11-09
117,272,Électricité,free,view_profile,0.2,2025-09-08
227,152,Déménagement,premium,ignore,0.0,2025-11-06
258,167,Menuiserie,free,reject_offer,-0.3,2026-05-14
93,197,Serrurerie,basic,view_profile,0.2,2026-03-20
89,171,Plomberie,free,message_sent,0.6,2025-12-23
351,271,Jardinage,free,reject_offer,-0.3,2025-08-19
231,96,Informatique,basic,accept_offer,1.0,2025-11-05
